county,fips,totalpop
Clay,17,13338
Clinton,17,37628
Coles,17,51736
Cook,17,5223719
Crawford,17,19088
Cumberland,17,10865
DeKalb,17,104200
De Witt,17,16042
Douglas,17,19714
DuPage,17,931743
Edgar,17,17539
Edwards,17,6507
Effingham,17,34174
Fayette,17,21724
Ford,17,13398
Franklin,17,39127
Fulton,17,35418
Gallatin,17,5157
Greene,17,13218
Grundy,17,50509
Hamilton,17,8221
Hancock,17,18112
Hardin,17,4009
Henderson,17,6884
Henry,17,49464
Iroquois,17,28169
Jackson,17,58551
Jasper,17,9598
Jefferson,17,38169
Jersey,17,22069
Jo Daviess,17,21834
Johnson,17,12602
Kane,17,530839
Kankakee,17,111061
Kendall,17,124626
Knox,17,50999
Lake,17,703619
LaSalle,17,110401
Lawrence,17,16189
Lee,17,34527
Livingston,17,36324
Logan,17,29207
McDonough,17,30875
McHenry,17,307789
McLean,17,173219
Macon,17,106512
Macoupin,17,45719
Madison,17,265670
Marion,17,38084
Marshall,17,11794
Mason,17,13778
Massac,17,14430
Menard,17,12367
Mercer,17,15693
Monroe,17,33936
Montgomery,17,29009
Morgan,17,34426
Moultrie,17,14703
Ogle,17,51328
Peoria,17,184463
Perry,17,21384
Piatt,17,16427
Pike,17,15754
Pope,17,4249
Pulaski,17,5611
Putnam,17,5746
Randolph,17,32546
Richland,17,15881
Rock Island,17,145275
St. Clair,17,263463
Saline,17,24231
Sangamon,17,197661
Schuyler,17,7064
Scott,17,5047
Shelby,17,21832
Stark,17,5500
Stephenson,17,45433
Tazewell,17,133852
Union,17,17127
Vermilion,17,78407
Wabash,17,11573
Warren,17,17338
Washington,17,14155
Wayne,17,16487
White,17,14025
Whiteside,17,56396
Will,17,688697
Williamson,17,67299
Winnebago,17,286174
Woodford,17,38817
Adams,18,35195
Allen,18,370016
Bartholomew,18,81893
Benton,18,8667
Blackford,18,12129
Boone,18,64321
Brown,18,15034
Carroll,18,19994
Cass,18,38084
Clark,18,115702
Clay,18,26268
Clinton,18,32301
Crawford,18,10581
Daviess,18,32937
Dearborn,18,49501
Decatur,18,26552
DeKalb,18,42704
Delaware,18,115616
Dubois,18,42418
Elkhart,18,203604
Fayette,18,23259
Floyd,18,76809
Fountain,18,16486
Franklin,18,22842
Fulton,18,20212
Gibson,18,33596
Grant,18,66944
Greene,18,32295
Hamilton,18,316095
Hancock,18,73830
Harrison,18,39712
Hendricks,18,160940
Henry,18,48483
Howard,18,82387
Huntington,18,36378
Jackson,18,43938
Jasper,18,33449
Jay,18,20993
Jefferson,18,32237
Jennings,18,27727
Johnson,18,151564
Knox,18,37409
Kosciusko,18,78806
LaGrange,18,38942
Lake,18,486849
LaPorte,18,110552
Lawrence,18,45619
Madison,18,129505
Marion,18,944523
Marshall,18,46595
Martin,18,10210
Miami,18,35901
Monroe,18,145403
Montgomery,18,38276
Morgan,18,69727
Newton,18,14018
Noble,18,47451
Ohio,18,5887
Orange,18,19547
Owen,18,20878
Parke,18,16996
Perry,18,19141
Pike,18,12411
Porter,18,168041
Posey,18,25589
Pulaski,18,12660
Putnam,18,37559
Randolph,18,25076
Ripley,18,28425
Rush,18,16704
St. Joseph,18,269240
Scott,18,23743
Shelby,18,44399
Spencer,18,20526
Starke,18,22941
Steuben,18,34474
Sullivan,18,20792
Switzerland,18,10628
Tippecanoe,18,189294
Tipton,18,15218
Union,18,7153
Vanderburgh,18,181313
Vermillion,18,15560
Vigo,18,107693
Wabash,18,31631
Warren,18,8247
Warrick,18,61928
Washington,18,27827
Wayne,18,66613
Wells,18,27947
White,18,24217
Whitley,18,33649
Adair,19,7124
Adams,19,3726
Allamakee,19,13880
Appanoose,19,12510
Audubon,19,5637
Benton,19,25626
Black Hawk,19,133009
Boone,19,26399
Bremer,19,24782
Buchanan,19,21125
Buena Vista,19,20260
Butler,19,14735
Calhoun,19,9780
Carroll,19,20344
Cass,19,13191
Cedar,19,18445
Cerro Gordo,19,42984
Cherokee,19,11468
Chickasaw,19,12099
Clarke,19,9282
Clay,19,16313
Clayton,19,17672
Clinton,19,47218
Crawford,19,17132
Dallas,19,84002
Davis,19,8885
Decatur,19,8044
Delaware,19,17258
Des Moines,19,39600
Dickinson,19,17056
Dubuque,19,96802
Emmet,19,9551
Fayette,19,19929
Floyd,19,15858
Franklin,19,10245
Fremont,19,6968
Greene,19,9003
Grundy,19,12341
Guthrie,19,10674
Hamilton,19,15110
